City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
147,Mikhaylovskoye,51,RU,1659415532,59,51.8239,79.7172,23.03,3.99
148,Kahului,40,US,1659415532,66,20.8947,-156.47,27.3,8.23
149,Pisco,4,PE,1659415532,88,-13.7,-76.2167,13.03,3.09
150,Skole,77,UA,1659415532,88,49.0372,23.5135,16.21,1.01
151,North Augusta,75,US,1659415533,78,33.5018,-81.9651,25.8,1.54
152,Matagami,100,CA,1659415533,94,49.7502,-77.6328,13.06,7.2
153,Salalah,100,OM,1659415125,100,17.0151,54.0924,24.05,2.57
154,Muros,0,ES,1659415533,82,42.7762,-9.0603,19.49,2.86
155,Barrow,100,US,1659415533,87,71.2906,-156.7887,5.01,5.14
156,Tateyama,100,JP,1659415534,82,34.9833,139.8667,28.85,7.39
157,Kiryat Gat,6,IL,1659415534,100,31.61,34.7642,24.39,2.49
158,Sydney,0,AU,1659415444,36,-33.8679,151.2073,18.99,4.63
159,Bolobo,59,CD,1659415534,57,-2.1667,16.2333,22.64,1.18
160,Ust-Kuyga,100,RU,1659415534,74,70.0167,135.6,11.01,3.71
161,Saryozek,5,KZ,1659415535,28,44.3583,77.9753,27.63,1.16
162,Nizhnevartovsk,0,RU,1659415535,51,60.9344,76.5531,17.01,4.02
163,Gambēla,100,ET,1659415535,98,8.25,34.5833,20.15,1.11
164,Jinchang,100,CN,1659415536,52,38.4953,102.1739,22.2,7.97
165,Qasigiannguit,60,GL,1659415536,79,68.8193,-51.1922,9.14,3.02
166,East London,0,ZA,1659415536,81,-33.0153,27.9116,9.52,2.06
167,Thompson,40,CA,1659415536,82,55.7435,-97.8558,11.09,1.03
168,Nabire,98,ID,1659415537,68,-3.3667,135.4833,28.98,2.57
169,Kupang,94,ID,1659415537,51,-10.1667,123.5833,30.2,0.89
170,Amapá,49,BR,1659415537,99,1.0,-52.0,20.98,0.73
171,Port-Cartier,93,CA,1659415418,96,50.0334,-66.8654,16.53,2.23
172,Okhotsk,78,RU,1659415537,77,59.3833,143.3,17.04,2.0
173,Kavieng,99,PG,1659415538,76,-2.5744,150.7967,28.37,7.16
174,Mount Gambier,100,AU,1659415538,54,-37.8333,140.7667,13.95,10.29
175,São Filipe,61,CV,1659415538,86,14.8961,-24.4956,24.2,2.99
176,San Isidro,100,PE,1659415171,85,-12.1167,-77.05,16.12,5.14
177,Khandyga,100,RU,1659415538,81,62.6667,135.6,18.99,0.68
178,Meulaboh,100,ID,1659415539,88,4.1363,96.1285,26.01,5.33
179,Biltine,88,TD,1659415539,75,14.5333,20.9167,23.29,3.49
180,Ambon City,75,ID,1659415357,89,-3.6954,128.1814,26.08,2.06
181,Caravelas,5,BR,1659415539,87,-17.7125,-39.2481,20.64,2.11
182,Severo-Kuril'sk,24,RU,1659415539,80,50.6789,156.125,13.46,2.37
183,Strezhevoy,4,RU,1659415540,43,60.7333,77.5889,17.24,5.29
184,Maniitsoq,100,GL,1659415540,85,65.4167,-52.9,7.21,4.3
185,Torbay,75,CA,1659415508,79,47.6666,-52.7314,18.8,4.12
186,Hamilton,0,US,1659415501,92,39.1834,-84.5333,24.66,3.6
187,Nelson Bay,0,AU,1659415476,38,-32.7167,152.15,18.86,2.68
188,Madimba,40,TZ,1659415540,94,-10.4,40.3333,20.62,5.14
189,Beringovskiy,12,RU,1659415541,72,63.05,179.3167,12.34,3.33
190,Qaqortoq,100,GL,1659415458,75,60.7167,-46.0333,7.63,1.67
191,Ichinohe,99,JP,1659415541,89,40.2069,141.3017,25.55,4.98
192,Carnarvon,92,AU,1659415541,52,-24.8667,113.6333,19.76,7.18
193,Port Hardy,20,CA,1659415541,77,50.6996,-127.4199,15.1,3.09
194,Saint George,0,US,1659415418,40,37.1041,-113.5841,31.52,2.57
195,Mahébourg,40,MU,1659415318,88,-20.4081,57.7,20.16,1.54
196,La Ciotat,32,FR,1659415542,48,43.1748,5.6045,23.77,2.59
197,Natal,100,BR,1659414942,78,-5.795,-35.2094,25.12,3.09
198,Punta Cardon,93,VE,1659415542,84,11.6581,-70.215,26.2,9.65
199,Matara,88,LK,1659415542,81,5.9485,80.5353,27.05,8.05
200,Paoua,100,CF,1659415543,97,7.2427,16.4406,19.93,1.58
201,Adrar,45,MR,1659415543,45,20.5022,-10.0711,29.13,7.34
202,Loralai,7,PK,1659415543,63,30.3705,68.598,25.94,2.59
203,Leningradskiy,30,RU,1659415543,49,69.3833,178.4167,14.53,1.2
204,Malbork,43,PL,1659415544,77,54.0359,19.0266,16.62,1.54
205,Nome,100,US,1659415083,72,64.5011,-165.4064,17.04,2.57
206,Narsaq,100,GL,1659415544,73,60.9167,-46.05,7.12,0.64
207,Laguna,0,US,1659415544,66,38.421,-121.4238,24.35,3.09
208,Flin Flon,89,CA,1659415544,70,54.7682,-101.865,14.01,1.94
209,Grindavik,75,IS,1659415545,76,63.8424,-22.4338,8.26,8.23
210,Haapiti,7,PF,1659415545,71,-17.5667,-149.8667,25.4,10.49
211,Saint Paul Harbor,0,US,1659415545,51,57.79,-152.4072,16.73,6.17
212,Chahal Guatemala,86,GT,1659415545,99,15.75,-89.5667,22.17,0.35
213,Grootfontein,0,NA,1659415546,55,-19.5667,18.1167,1.76,0.51
214,Bambous Virieux,40,MU,1659415546,88,-20.3428,57.7575,20.14,1.54
215,Vadsø,75,NO,1659415546,100,70.0744,29.7487,13.09,2.06
216,Shakawe,31,BW,1659415546,39,-18.3667,21.85,13.99,3.08
217,Altay,45,CN,1659415547,26,47.8667,88.1167,27.35,5.4
218,Havøysund,0,NO,1659415547,75,70.9963,24.6622,11.13,1.76
219,Ojinaga,0,MX,1659415547,33,29.5667,-104.4167,32.53,6.69
220,Cabo San Lucas,90,MX,1659415522,60,22.8909,-109.9124,30.28,4.22
221,Devils Lake,0,US,1659415547,83,48.1128,-98.8651,20.99,4.63
222,Mersing,40,MY,1659415548,79,2.4312,103.8405,30.95,1.03
223,Eureka,73,US,1659415318,83,40.8021,-124.1637,16.67,1.53
224,Agadez,19,NE,1659415548,49,19.75,10.25,27.66,6.91
225,Lebu,4,CL,1659415548,85,-37.6167,-73.65,7.28,5.44
226,Hrodna,1,BY,1659415548,93,53.6884,23.8258,12.72,4.0
227,Segovia,2,ES,1659415501,53,41.1667,-4.0,21.35,3.44
228,Soyo,33,AO,1659415549,91,-6.1349,12.3689,19.83,4.28
229,Aklavik,100,CA,1659415549,59,68.2191,-135.0107,16.44,4.18
230,Damietta,0,EG,1659415549,72,31.4165,31.8133,26.14,3.47
231,Bubaque,95,GW,1659415550,80,11.2833,-15.8333,26.06,6.63
232,NEDJO,100,ET,1659415550,99,9.5046,35.5019,13.73,0.62
233,Phayakkhaphum Phisai,86,TH,1659415550,57,15.5163,103.1937,33.01,4.9
234,Vanderhoof,31,CA,1659415410,48,54.0166,-124.0198,17.44,3.09
235,Hoima,100,UG,1659415550,98,1.4356,31.3436,16.97,0.51
236,Ahipara,99,NZ,1659415551,74,-35.1667,173.1667,13.78,2.89
237,City of San Pedro,40,PH,1659415057,69,14.35,121.0167,30.63,1.03
238,Valdivia,7,CL,1659415551,98,-39.8142,-73.2459,0.05,0.97
239,Gumdag,0,TM,1659415551,27,39.2061,54.5906,32.64,2.58
240,Norman Wells,40,CA,1659415383,52,65.282,-126.8329,20.02,6.17
241,Sakmara,5,RU,1659415552,56,51.9844,55.3338,21.7,3.74
242,Emba,98,KZ,1659415552,47,48.8264,58.1442,24.4,2.34
243,Kudahuvadhoo,100,MV,1659415552,73,2.6708,72.8944,27.76,7.84
244,Faya,100,SA,1659415552,69,18.3851,42.4509,14.29,2.43
245,Oktyabr'skoye,26,RU,1659415553,64,43.0645,44.7417,21.86,1.0
246,Batticaloa,100,LK,1659415553,64,7.7102,81.6924,28.65,2.62
247,Gemeente Barneveld,99,NL,1659415553,77,52.1333,5.5833,13.96,3.18
248,Jega,97,NG,1659415553,88,12.2175,4.3792,23.34,3.33
249,Ilulissat,20,GL,1659415554,76,69.2167,-51.1,9.01,4.63
250,Byron Bay,12,AU,1659415261,60,-28.65,153.6167,20.52,3.8
251,Masuguru,40,TZ,1659415554,65,-11.3667,38.4167,22.35,2.45
252,Sekoma,41,BW,1659415554,81,-24.4,23.8833,11.46,9.32
253,Nevel'sk,84,RU,1659415554,80,46.6733,141.8633,18.42,4.05
254,Nefteyugansk,45,RU,1659415256,51,61.0998,72.6035,16.99,5.87
255,Anju,98,KP,1659415555,96,39.6178,125.6647,25.14,2.0
256,Port Elizabeth,0,ZA,1659415480,93,-33.918,25.5701,6.16,1.03
257,Samarai,21,PG,1659415555,81,-10.6167,150.6667,27.37,5.44
258,Evensk,99,RU,1659415555,92,61.95,159.2333,11.91,4.49
259,Athens,20,GR,1659415505,51,37.9795,23.7162,27.17,4.12
260,Leshukonskoye,14,RU,1659415556,76,64.8989,45.7622,16.79,3.28
261,Constitución,26,CL,1659415556,81,-35.3333,-72.4167,8.64,3.02
262,Tarakan,40,ID,1659415556,70,3.3,117.6333,30.72,2.06
263,Kaitangata,13,NZ,1659415556,59,-46.2817,169.8464,12.07,5.07
264,Seoul,100,KR,1659415285,82,37.5683,126.9778,27.97,5.14
265,Clyde River,100,CA,1659415557,100,70.4692,-68.5914,3.13,2.57
266,West Wendover,75,US,1659415557,39,40.7391,-114.0733,26.56,7.2
267,Oranjestad,40,AW,1659415543,83,12.524,-70.027,27.97,7.2
